nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
-339.99852231053313,40.998738119698466,-222.00137358797608,87.99648263929714
NIND,NGEN,POP,CXPB,MUTPB
4,100,5000,0.6,0.2
