nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
-598.0025223278019,63.00011522936007,-357.99999999449034,185.99999998810216,-434.99663246017803,112.0000000002032,-390.00200966539876,-101.00386105266102,-368.00000001804597
-598.0025223278019,63.00011522936006,-357.9999999944904,185.99999998810205,-434.99663246017803,112.00000000020317,-390.0020096653987,-101.00386105266102,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.9999999944904,185.99999998810205,-434.99663246017803,112.0000000002032,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.0025223278019,63.00011522936008,-357.99999999449034,185.99999998810208,-434.99663246017803,112.0000000002032,-390.00200966539865,-101.00386105266101,-368.000000018046
-598.0025223278017,63.000115229360084,-357.9999999944904,185.9999999881021,-434.99663246017815,112.00000000020322,-390.0020096653987,-101.003861052661,-368.00000001804597
-598.0025223278018,63.000115229360084,-594.8859613049281,185.99999998810208,-434.99663246017803,112.00000000020322,-390.0020096653987,-101.003861052661,-368.0000000180459
-598.0025223278019,63.00011522936008,-357.99999999449045,185.9999999881021,-434.99663246017803,112.00000000020322,-390.00200966539876,-101.00386105266101,-368.00000001804597
-598.0025223278019,63.00011522936007,-357.9999999944903,185.9999999881021,-434.9966324601781,112.00000000020322,-390.00200966539876,-101.00386105266101,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.9999999944904,185.99999998810202,-434.99663246017803,112.00000000020322,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.9999999944904,185.99999998810202,-434.99663246017803,112.00000000020322,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.9999999944904,185.99999998810205,-434.9966324601781,112.00000000020322,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.9999999944904,185.99999998810205,-434.9966324601781,112.00000000020322,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.002522327802,63.00011522936006,-357.99999999449045,185.9999999881021,-434.9966324601781,112.00000000020319,-390.00200966539865,-101.00386105266102,-368.0000000180459
-598.0025223278019,63.00011522936006,-357.9999999944904,185.9999999881021,-434.99663246017815,112.0000000002032,-390.00200966539876,-101.00386105266102,-368.00000001804597
-598.0025223278018,63.00011522936006,-357.9999999944904,185.99999998810213,-434.99663246017803,112.00000000020322,-390.00200966539865,-101.003861052661,-368.00000001804597
-598.0025223278018,63.00011522936007,-357.99999999449045,185.99999998810213,-434.99663246017803,112.0000000002032,-390.00200966539865,-334.23280607920054,-368.00000001804597
-598.0025223278019,63.00011522936008,-357.9999999944905,185.99999998810205,-434.99663246017803,112.0000000002032,-390.0020096653987,-101.00386105266101,-368.00000001804597
-598.002522327802,89.64940033289881,-133.1732755409236,185.9999999881021,-538.3897501087217,112.0000000002032,-180.88093802570677,-101.00386105266101,-340.03114617620435
-598.0025223278017,63.00011522936008,-357.99999999449034,185.99999998810202,-434.99663246017803,112.0000000002032,-390.00200966539876,-101.003861052661,-368.00000001804597
-598.0025223278017,63.00011522936008,-357.99999999449034,185.99999998810205,-434.99663246017803,112.00000000020322,-390.0020096653987,-101.003861052661,-368.00000001804597
-598.0025223278019,63.000115229360055,-357.99999999449034,185.9999999881021,-434.99663246017803,112.00000000020322,-390.00200966539865,-101.003861052661,-368.00000001804597
