nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
-294.99999904355917,-413.99988072103275,-187.99925604996383,350.9999980005027
NIND,NGEN,POP,CXPB,MUTPB
4,100,5000,0.5,0.2
