nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
-38.982499765951346,912.9476663333028,-704.9625066914014,-273.005664522291,-175.12537292483225,839.9805271503819,303.9595509934727,-457.9925545441596,-332.98726554843444
-38.982499765951346,1140.9328283222335,-704.9625066914014,-273.005664522291,-160.87742329804595,839.9805271503819,303.9595509934727,-457.9925545441595,-332.98930266150967
-38.982499765951346,707.989607003522,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503817,303.9595509934727,-457.9925545441594,-332.9853058741664
255.5327512068264,707.9993770619244,-899.9806294581977,-273.005664522291,-162.00282859061724,839.9805271503817,303.9595509934727,-457.99255454415936,-332.9847145333263
-38.982499765951346,701.0746182097635,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441596,-332.98492375975223
-38.982499765951346,704.8374478933008,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.99255454415953,-332.98470332682257
-106.20320612259431,694.7832374589531,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441595,-332.98369903473196
297.924817717389,699.2316822933038,-704.9625066914016,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441594,-332.9814472095412
-38.982499765951346,496.47285662919745,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441595,-332.98472105207543
-38.982499765951346,644.649898955194,-704.9625066914014,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441595,-332.98472105207543
-38.982499765951346,894.9346339295116,-992.0735782104216,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441595,-332.98492358825206
-38.982499765951346,762.7204145461601,-640.8574131015347,-273.005664522291,-162.00282859061724,839.9805271503819,303.9595509934727,-457.9925545441595,-332.9847048771948
