mean,std
-591.41,1776.7278356293064
1060.1,2455.7581538091245
2957.87,2457.9588387725294
3891.41,2469.5268902970065
4093.43,2575.897176732798
4079.18,2619.3920225120946
5236.76,2078.8098235288376
4778.38,2817.0168007308716
5139.39,2739.6675889421326
5459.0,2514.5982502181137
5681.18,2555.3086560335523
6528.33,2046.2213617055227
6959.7,2140.2573840545447
7155.05,2409.6943514686654
7414.34,2410.7355027874783
7413.3,2389.3093751123984
7339.16,2496.0756467703463
7255.9,2687.725181263889
7351.08,2437.1316323908313
7744.84,1871.7672489922445
7257.89,2677.593755202606
7119.74,2693.387111501055
7037.88,2364.4478056408857
6635.11,2130.991909393369
6853.84,2041.6303324549222
6862.69,2599.8333396392945
7465.94,2506.348083646804
8198.65,1507.7374133117532
7955.28,2504.241833689392
7918.59,2812.297786846195
7682.68,3030.7064420032484
