nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
454.0931446293121,-270.02490941585063,-1.0249796828819058,290.99418469394175,-217.02923207625298,-467.99851923420033,-443.8364549546269,-208.0123524792864,-185.9751094416386
258.2223176841641,-270.0249094158506,-1.0249796828819058,278.98468055882654,-217.029232076253,-474.5792773442281,-589.4460979617065,-208.01235247928633,-185.9751094416386
399.21091554741906,-270.0249091532139,-1.0249796828819058,368.19717325595303,-217.02923207625298,-467.9985192342002,-368.0240660314213,-208.0123120133452,-185.97510944163864
399.7416929599493,-270.02490890938446,-1.0249796828819058,295.69876315304583,-217.02923207625298,-467.9985192342002,-368.0005728391278,-208.01196460169638,-185.97510944163864
397.6289158906835,-270.0249094158506,-1.0249796828819056,264.608031807383,-217.01446670410596,-467.9985192342002,-361.65467871999533,-184.52622085616304,-185.9751094416386
323.3610216642526,-270.0249094158506,-1.0249796828819056,160.41461690469544,-217.02722397695524,-467.99851923420016,-362.319788156325,-165.4997453434403,-185.97510944163864
278.0027279077612,-270.02490941585063,-1.024979682881906,290.9693208052422,-217.02923207625298,-467.9985192342002,-394.99467286998635,247.01327831614344,-185.9751094416386
398.9845125396978,-270.0249094158505,-1.0249796828819058,290.96932080524215,-217.029232076253,-467.99851923420033,-46.83525089451007,-208.01235247928633,-185.9751094416386
398.98451253969773,-270.0249094158506,-1.0249796828819058,338.9237618956845,-217.02923207625298,-467.99851923420033,-368.00252460829404,-208.01235247928633,-199.50915336728156
398.9845125396978,-270.0249094158506,-1.0249796828819058,323.07225342312836,-217.02923207625298,-467.99851923420033,-368.00252460829404,-208.01235247928636,-199.2715827040073
398.8459941393431,-270.0249094158506,1.3119257902707293,112.00132206740389,-217.02112268827457,-467.99851923420033,-362.3152232131952,-198.38428197527884,-185.97510944163858
395.941768756827,-270.0249094158506,4.7513560862305235,374.5853917534931,-217.02379685745342,-467.9985192342002,-368.7754465856703,-200.65732450599842,-185.97510944163858
398.9845125396978,-270.0249094158505,-1.0249796828819058,278.42731599545823,-217.02923207625298,-467.9985192342004,-368.00252460829404,-208.01235247928633,-185.9751094416386
398.98451253969773,-270.0249094158505,-1.0249796828819058,371.53832938506025,-217.029232076253,-467.99851923420044,-368.0025246082941,-208.01235247928633,-185.9751094416386
398.9845125396978,-270.0249094158505,95.85362038427186,326.62986437080616,-217.02923207625298,-467.99851923420033,-368.00252460829404,-208.01235247928633,-185.9751094416386
398.9845125396978,-270.0249094158506,51.37721807702031,326.8696477885089,-217.02923207625298,-467.99851923420044,-368.00252460829404,-208.01235247928633,-185.9751094416386
329.80263560756003,-270.0249094158506,-1.0249796828819058,290.9693208052422,-217.029232076253,-467.99851923420033,-358.2266706674427,-192.51602825085487,-84.40712397894292
383.1734334150172,-270.02490941585063,-1.0249796828819058,290.9693208052422,-217.02923207625304,-467.99851923420033,-365.76880410900765,-156.4836456456204,-113.55178767524673
511.19799958357305,-257.92481283762095,70.10969315484994,290.96932080524226,-217.02923207625298,-467.99851923420033,-360.2249884463136,-214.74225591421418,160.05197391694202
380.05060423863836,-270.02490941585063,-1.0249796828819058,290.9693208052422,-217.0292320762531,-467.9985192342002,-363.77048633013675,-134.25741798226105,-185.9751094416386
412.42711510887136,-270.0249094158506,-49.72558534524682,282.6529948872897,-217.029232076253,-467.99851923420033,-358.221600065222,297.97930773966175,-185.9751094416386
264.5601253385876,-270.0249094158505,-133.30389011447994,287.3010064767791,-217.02923207625298,-467.9985192342002,-365.75286681109833,-258.97838190280464,-185.9751094416386
398.98451253969773,-264.78581488263933,-1.0249796828819058,326.30197171703753,-217.029232076253,-342.8494611819346,-368.00252460829404,-208.01235247928633,-185.9751094416386
322.0054250152383,-270.02490941585063,-1.0249796828819056,80.9718865347939,-217.0124586048082,-467.9985192342001,-355.9719422680263,-142.01361372031698,-185.9751094416386
440.99935266713425,-270.01688828700435,-1.0249796828819058,290.97632445699344,-417.63318658903654,-467.9985192342002,-355.9719422680262,33.36304476030861,67.43368636195032
278.00272790776125,-270.02490941585063,-1.024979682881906,197.998730936921,-217.02923207625295,-467.9985192342002,-355.9719422680263,247.01327831614344,-185.9751094416386
398.9845125396978,-270.02490941585063,-1.0249796828819058,291.00283503590407,-217.029232076253,-467.99851923420033,-368.00252460829404,-208.01235247928633,-185.9751094416386
278.0027279077612,-270.02490941585063,-1.0249796828819058,290.96932080524215,-217.02923207625298,-467.9985192342002,-373.9983281070211,247.01327831614344,-185.9751094416386
319.4757585972528,-270.02490941585063,-1.024979682881906,290.98414634018934,-217.02923207625295,-467.9985192342003,-390.71208380587524,208.39225360327364,-185.9751094416386
357.51148185020617,-270.02490941585063,-1.0249796828819058,291.1760911737636,-217.02923207625295,-467.9985192342002,-372.28511367240503,-169.39132776641654,-185.9751094416386
303.4914829823842,-350.25932551641574,-1.024979682881906,308.6064131547532,-149.43699101665197,-467.9985192342004,-356.84395887891435,-148.54080047959394,-185.9751094416386
272.68336732719206,-257.77607470911397,-1.0249796828819058,305.12156126533245,-222.60469917679006,-467.9985192342003,-367.13050799740597,187.54172631645105,140.49381194665608
398.9845125396977,-270.0249094158505,-1.0249796828819058,297.0062630737227,-217.02923207625298,-467.99851923420033,-368.00252460829404,-208.01235247928636,-185.9751094416386
398.98451253969773,-270.0249094158505,-1.0249796828819058,303.95574118871093,-588.0830827946629,-467.9985192342004,-368.00252460829404,-208.01235247928633,-185.9751094416386
419.784569033928,-270.0249094158504,-1.0249796828819058,191.46381019412814,-217.02923207625298,-467.99851923420033,-356.3974721413996,-286.42451481306193,-190.28952210602864
257.202671413531,-412.1508099349318,-1.0249796828819058,298.5390090426793,-217.02923207625295,-467.99851923420033,-367.57699473492073,325.4254406499191,59.847253693794755
398.98451253969773,-270.0249094158506,-1.0249796828819058,344.98967080567195,-217.02923207625298,-467.9985192342003,-368.00252460829404,-208.01235247928633,-185.9751094416386
398.98451253969785,-270.02490941585063,-1.0249796828819058,291.0057752196913,-217.02923207625298,-467.9985192342003,78.39209774751868,-208.01235247928633,-188.71394072596124
255.6255334161968,-270.02490941585063,-1.0249796828819058,333.33568144878575,-195.72797014434835,-467.99851923420033,-321.854287284277,-260.18519629404926,-185.9751094416386
